Empresa;Productos;Color;Precio Unitario;Stock
ModaPlus;Polo básico de algodón;Blanco / Negro / Azul marino;S/ 49.90;250
ModaPlus;Jean clásico unisex;Azul / Negro / Celeste;S/ 119.90;200
ModaPlus;Casaca denim;Azul / Negro;S/ 159.90;150
UrbanStyle;Zapatillas casuales;Blanco / Gris / Negro;S/ 199.90;180
UrbanStyle;Zapatillas deportivas;Negro / Rojo / Azul;S/ 249.90;130
UrbanStyle;Sandalias de verano;Beige / Negro / Marrón;S/ 79.90;90
TrendyWear;Vestido casual;Rojo / Negro / Azul pastel;S/ 129.90;160
TrendyWear;Blusa elegante;Blanca / Rosada / Celeste;S/ 89.90;120
TrendyWear;Falda plisada;Negra / Beige / Rosa;S/ 99.90;100
Accesorize;Gorro de algodón;Gris / Negro / Azul;S/ 39.90;80
Accesorize;Bolso de mano;Negro / Marrón / Beige;S/ 119.90;110
Accesorize;Cinturón de cuero;Negro / Marrón;S/ 69.90;70
